InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,40,0.3,0.05,0.022974517439044634,0.12382739212007504,8
50,Tournament,TwoPoint,20,40,0.3,0.02,0.01955335139530881,0.25534079348931843,8
70,Tournament,TwoPoint,20,20,0.7,0.05,0.14473793681141964,0.407098121085595,5
70,Tournament,TwoPoint,20,20,0.7,0.1,0.1777341970651408,0.48956158663883087,5
60,Tournament,TwoPoint,20,40,0.3,0.02,0.019817701146630073,0.18072289156626506,8
40,Tournament,TwoPoint,20,40,0.3,0.1,0.029092794190261492,0.22101090188305253,8
50,Tournament,TwoPoint,20,40,0.3,0.05,0.020573937145356703,0.08952187182095625,9
70,Tournament,TwoPoint,20,40,0.3,0.02,0.030276981622979565,0.11899791231732777,8
40,Tournament,TwoPoint,20,40,0.4,0.02,0.026513198760784788,0.1807379612257661,8
60,Tournament,TwoPoint,20,40,0.3,0.05,0.04210242530516659,0.28088235294117647,9
50,Tournament,TwoPoint,20,40,0.3,0.1,0.06975772765962286,0.34285714285714286,9
40,Tournament,TwoPoint,20,40,0.4,0.05,0.01953737706851597,0.08225966303270565,7
70,Tournament,TwoPoint,20,40,0.3,0.05,0.06033347959819404,0.29227557411273486,9
50,Tournament,TwoPoint,20,40,0.4,0.02,0.017863256775146618,0.12309257375381485,7
60,Tournament,TwoPoint,20,40,0.3,0.1,0.09443864140957847,0.29132791327913277,10
40,Tournament,TwoPoint,20,40,0.4,0.1,0.032687104711535214,0.14071294559099437,8
50,Tournament,TwoPoint,20,40,0.4,0.05,0.023668117602797842,0.1163895486935867,8
60,Tournament,TwoPoint,20,40,0.4,0.02,0.024813840138542778,0.16176470588235295,8
70,Tournament,TwoPoint,20,40,0.3,0.1,0.11357757301953163,0.4603340292275574,11
40,Tournament,TwoPoint,20,40,0.5,0.02,0.025341697623755457,0.1350844277673546,7
70,Tournament,TwoPoint,20,40,0.4,0.02,0.03376790616833284,0.27035490605427975,8
50,Tournament,TwoPoint,20,40,0.4,0.1,0.07091006877703365,0.3631739572736521,9
60,Tournament,TwoPoint,20,40,0.4,0.05,0.04803929111208117,0.2229965156794425,9
40,Tournament,TwoPoint,20,40,0.5,0.05,0.022258584168992308,0.1399440223910436,7
50,Tournament,TwoPoint,20,40,0.5,0.02,0.016506450170466137,0.07007258514796204,8
70,Tournament,TwoPoint,20,40,0.4,0.05,0.0613638566342928,0.2056367432150313,9
40,Tournament,TwoPoint,20,40,0.5,0.1,0.035802026026474906,0.25328330206378985,9
60,Tournament,TwoPoint,20,40,0.4,0.1,0.1041996711336883,0.2926470588235294,11
50,Tournament,TwoPoint,20,40,0.5,0.05,0.032846532960591084,0.17783251231527095,8
40,Tournament,TwoPoint,20,40,0.6,0.02,0.024381343688479364,0.23514696685428393,7
60,Tournament,TwoPoint,20,40,0.5,0.02,0.02754269888267463,0.13451708366962603,8
70,Tournament,TwoPoint,20,40,0.4,0.1,0.12141468185137645,0.42350332594235035,11
40,Tournament,TwoPoint,20,40,0.6,0.05,0.02109529734547611,0.1657285803627267,8
50,Tournament,TwoPoint,20,40,0.5,0.1,0.07576018491933868,0.2960325534079349,10
60,Tournament,TwoPoint,20,40,0.5,0.05,0.0506040462987384,0.23529411764705882,9
70,Tournament,TwoPoint,20,40,0.5,0.02,0.04410174722318568,0.21951219512195122,8
50,Tournament,TwoPoint,20,40,0.6,0.02,0.01875408978552759,0.10886699507389162,8
40,Tournament,TwoPoint,20,40,0.6,0.1,0.04115960712042854,0.22101090188305253,9
70,Tournament,TwoPoint,20,40,0.5,0.05,0.07049171031942819,0.2974947807933194,10
60,Tournament,TwoPoint,20,40,0.5,0.1,0.1133430469766692,0.4076655052264808,11
40,Tournament,TwoPoint,20,40,0.7,0.02,0.023158783441650153,0.11195521791283487,8
50,Tournament,TwoPoint,20,40,0.6,0.05,0.0330983322659766,0.12114014251781473,9
60,Tournament,TwoPoint,20,40,0.6,0.02,0.03259519298640033,0.20392953929539295,8
70,Tournament,TwoPoint,20,40,0.5,0.1,0.13007526700545527,0.4091858037578288,11
40,Tournament,TwoPoint,20,40,0.7,0.05,0.024719371129650804,0.13794482207117154,9
50,Tournament,TwoPoint,20,40,0.6,0.1,0.07908225312049617,0.38555442522889116,10
60,Tournament,TwoPoint,20,40,0.6,0.05,0.05708148438486835,0.23761713520749667,10
70,Tournament,TwoPoint,20,40,0.6,0.02,0.04669182786810136,0.11133433785367487,8
50,Tournament,TwoPoint,20,40,0.7,0.02,0.025861177858450646,0.13491773308957952,8
40,Tournament,TwoPoint,20,40,0.7,0.1,0.048355517696174424,0.31813676907829536,10
60,Tournament,TwoPoint,20,40,0.6,0.1,0.10700124607245286,0.3132530120481928,10
