InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,20,0.3,0.02,0.052308829068085025,1,2
40,Tournament,TwoPoint,20,20,0.3,0.05,0.048852223244774215,1,1
40,Tournament,TwoPoint,20,20,0.3,0.1,0.08383068681459964,1,2
40,Tournament,TwoPoint,20,20,0.4,0.02,0.05153184694714164,0.5801037458227343,1
40,Tournament,TwoPoint,20,20,0.4,0.05,0.05462164432117318,1,1
40,Tournament,TwoPoint,20,20,0.4,0.1,0.08848373284581915,1,2
40,Tournament,TwoPoint,20,20,0.5,0.02,0.05899951793458822,1,1
40,Tournament,TwoPoint,20,20,0.5,0.05,0.05971851288816862,0.6870916255174822,1
40,Tournament,TwoPoint,20,20,0.5,0.1,0.08549445236027195,1,1
40,Tournament,TwoPoint,20,20,0.6,0.02,0.06231512980260117,1,1
40,Tournament,TwoPoint,20,20,0.6,0.05,0.06738969433453376,1,1
40,Tournament,TwoPoint,20,20,0.6,0.1,0.097667153217958,1,2
40,Tournament,TwoPoint,20,20,0.7,0.02,0.07756019785991314,1,1
40,Tournament,TwoPoint,20,20,0.7,0.05,0.07038164620157158,1,2
40,Tournament,TwoPoint,20,20,0.7,0.1,0.10563526422079252,1,2
40,Tournament,TwoPoint,20,40,0.3,0.02,0.036500982671481406,0.6409593508869621,3
40,Tournament,TwoPoint,20,40,0.3,0.05,0.028940118140828103,0.3449208495744173,3
40,Tournament,TwoPoint,20,40,0.3,0.1,0.041581052565210636,0.6375785538143346,3
40,Tournament,TwoPoint,20,40,0.4,0.02,0.03453293634608969,0.51519369978522,3
40,Tournament,TwoPoint,20,40,0.4,0.05,0.028374358831757922,0.39782038024023547,3
40,Tournament,TwoPoint,20,40,0.4,0.1,0.045570410232189947,1,3
40,Tournament,TwoPoint,20,40,0.5,0.02,0.028976634616412932,0.36655795083923315,3
40,Tournament,TwoPoint,20,40,0.5,0.05,0.03032758306709953,0.559080253379221,4
40,Tournament,TwoPoint,20,40,0.5,0.1,0.05432010973244943,1,3
40,Tournament,TwoPoint,20,40,0.6,0.02,0.029688685083382328,0.2180812982260759,3
40,Tournament,TwoPoint,20,40,0.6,0.05,0.03399399934220638,1,3
40,Tournament,TwoPoint,20,40,0.6,0.1,0.054110074487542355,1,4
40,Tournament,TwoPoint,20,40,0.7,0.02,0.03867086653516965,1,3
40,Tournament,TwoPoint,20,40,0.7,0.05,0.03349620217161803,1,3
40,Tournament,TwoPoint,20,40,0.7,0.1,0.0582181828401383,1,4
40,Tournament,TwoPoint,20,60,0.3,0.02,0.031227770709189747,0.14030624968826375,4
40,Tournament,TwoPoint,20,60,0.3,0.05,0.029041764709360457,0.23987749582372125,5
40,Tournament,TwoPoint,20,60,0.3,0.1,0.031167088463298652,0.5321374592315647,5
40,Tournament,TwoPoint,20,60,0.4,0.02,0.03139927464908206,0.10127687166442216,4
40,Tournament,TwoPoint,20,60,0.4,0.05,0.029551837244835753,0.23375228700978443,5
40,Tournament,TwoPoint,20,60,0.4,0.1,0.03022343639989241,0.3928486198393127,5
40,Tournament,TwoPoint,20,60,0.5,0.02,0.03314385000691127,0.4398615861904383,4
40,Tournament,TwoPoint,20,60,0.5,0.05,0.03051708461056732,0.3237069180507756,5
40,Tournament,TwoPoint,20,60,0.5,0.1,0.03578215792948012,0.40959350886962054,5
40,Tournament,TwoPoint,20,60,0.6,0.02,0.032552337189029425,0.20821732559064512,5
40,Tournament,TwoPoint,20,60,0.6,0.05,0.031204167465221925,0.44574815050513084,5
40,Tournament,TwoPoint,20,60,0.6,0.1,0.037392834314568704,1,6
40,Tournament,TwoPoint,20,60,0.7,0.02,0.03132005397621809,0.413491369023944,5
40,Tournament,TwoPoint,20,60,0.7,0.05,0.02757092130168992,0.2838676318510858,5
40,Tournament,TwoPoint,20,60,0.7,0.1,0.03427353207827326,0.48306648710658884,6
40,Tournament,TwoPoint,20,80,0.3,0.02,0.029052131795468273,0.08225280407286611,5
40,Tournament,TwoPoint,20,80,0.3,0.05,0.030956623286679072,0.25057672420650706,6
40,Tournament,TwoPoint,20,80,0.3,0.1,0.028536430577170226,0.6538859279293612,7
40,Tournament,TwoPoint,20,80,0.4,0.02,0.03207991529474519,0.2475936679659534,5
40,Tournament,TwoPoint,20,80,0.4,0.05,0.029134367114129263,0.2180415241428685,6
