InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,20,0.3,0.02,0.03733317514166447,0.0557909604519774,8
40,Tournament,TwoPoint,20,20,0.3,0.05,0.05550308543091194,0.08955492594733401,1
40,Tournament,TwoPoint,20,20,0.3,0.1,0.11402877730996586,0.13053362742821764,1
40,Tournament,TwoPoint,20,20,0.4,0.02,0.06595947148614081,0.11896289822502445,2
40,Tournament,TwoPoint,20,20,0.4,0.05,0.07985339498242398,0.16766548057515035,1
40,Tournament,TwoPoint,20,20,0.4,0.1,0.16201727083290313,0.1906392694063927,1
40,Tournament,TwoPoint,20,20,0.5,0.02,0.06342277328837566,0.10462618992338055,2
40,Tournament,TwoPoint,20,20,0.5,0.05,0.09142784026575335,0.14492276556575595,2
40,Tournament,TwoPoint,20,20,0.5,0.1,0.2221025135181373,0.2665525114155251,1
40,Tournament,TwoPoint,20,20,0.6,0.02,0.06953393368872421,0.0792340073288176,2
40,Tournament,TwoPoint,20,20,0.6,0.05,0.15657049712337043,0.21220258224730218,2
40,Tournament,TwoPoint,20,20,0.6,0.1,0.21371320819937636,0.26178288282664336,2
40,Tournament,TwoPoint,20,20,0.7,0.02,0.14555794224162272,0.18084390664531474,2
40,Tournament,TwoPoint,20,20,0.7,0.05,0.23729490787640256,0.2701062981395302,2
40,Tournament,TwoPoint,20,20,0.7,0.1,0.24880870723092033,0.27773269242774207,2
40,Tournament,TwoPoint,20,40,0.3,0.02,0.012561380650138487,0.027574313247988782,2
40,Tournament,TwoPoint,20,40,0.3,0.05,0.028089764011472968,0.06505492361898492,3
40,Tournament,TwoPoint,20,40,0.3,0.1,0.09185389114310422,0.1515833678238661,3
40,Tournament,TwoPoint,20,40,0.4,0.02,0.018796197848181605,0.03525100695531037,3
40,Tournament,TwoPoint,20,40,0.4,0.05,0.0721540283310978,0.08751066441933537,3
40,Tournament,TwoPoint,20,40,0.4,0.1,0.12233460946637983,0.1743719973847043,7
40,Tournament,TwoPoint,20,40,0.5,0.02,0.01853327965484367,0.0473501179725773,2
40,Tournament,TwoPoint,20,40,0.5,0.05,0.07814164829223944,0.08734012376212637,10
40,Tournament,TwoPoint,20,40,0.5,0.1,0.19640432360921764,0.253850321182571,3
40,Tournament,TwoPoint,20,40,0.6,0.02,0.06312943366898945,0.08287455108828518,3
40,Tournament,TwoPoint,20,40,0.6,0.05,0.15361775138689607,0.193880538254207,3
40,Tournament,TwoPoint,20,40,0.6,0.1,0.2200508099291175,0.3108791552679662,3
40,Tournament,TwoPoint,20,40,0.7,0.02,0.10324271174364426,0.12164721060407432,10
40,Tournament,TwoPoint,20,40,0.7,0.05,0.22296981288239817,0.2823020664035291,5
40,Tournament,TwoPoint,20,40,0.7,0.1,0.2899102618374119,0.32788364239298734,3
40,Tournament,TwoPoint,20,60,0.3,0.02,0.01770528424878966,0.02656220737873775,4
40,Tournament,TwoPoint,20,60,0.3,0.05,0.03525760990180256,0.06610362975001935,8
40,Tournament,TwoPoint,20,60,0.3,0.1,0.13990043687793743,0.1614749152048609,3
40,Tournament,TwoPoint,20,60,0.4,0.02,0.01608566661523602,0.022691803483363505,4
40,Tournament,TwoPoint,20,60,0.4,0.05,0.03680301244059498,0.05793400026246454,3
40,Tournament,TwoPoint,20,60,0.4,0.1,0.18001395963427363,0.24269894307547873,4
40,Tournament,TwoPoint,20,60,0.5,0.02,0.02709459000110833,0.034665509130737626,4
40,Tournament,TwoPoint,20,60,0.5,0.05,0.0955027289907802,0.12468526957571217,4
40,Tournament,TwoPoint,20,60,0.5,0.1,0.187484768645231,0.20781092794675335,4
40,Tournament,TwoPoint,20,60,0.6,0.02,0.018575176457225846,0.040961774559377405,8
40,Tournament,TwoPoint,20,60,0.6,0.05,0.15137880953836572,0.1729514892164393,7
40,Tournament,TwoPoint,20,60,0.6,0.1,0.2609398350230319,0.29868451531887397,6
40,Tournament,TwoPoint,20,60,0.7,0.02,0.09030983433864856,0.10748204771832291,5
40,Tournament,TwoPoint,20,60,0.7,0.05,0.23100306807573232,0.2682648401826484,4
40,Tournament,TwoPoint,20,60,0.7,0.1,0.2924338594011495,0.3387315223279932,4
40,Tournament,TwoPoint,20,80,0.3,0.02,0.021028227338892102,0.030540210171226063,4
40,Tournament,TwoPoint,20,80,0.3,0.05,0.04893884614046059,0.06735751295336788,5
40,Tournament,TwoPoint,20,80,0.3,0.1,0.09518747435179534,0.13890178778732296,5
40,Tournament,TwoPoint,20,80,0.4,0.02,0.018388461381759015,0.030540210171226063,5
40,Tournament,TwoPoint,20,80,0.4,0.05,0.047415534202068385,0.07590985704475935,5
40,Tournament,TwoPoint,20,80,0.4,0.1,0.15989871576940473,0.1965556576250997,5
40,Tournament,TwoPoint,20,80,0.5,0.02,0.012078743801578608,0.01787460723723911,5
