InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,80,0.4,0.1,0.21778196069490946,1,7
50,Tournament,TwoPoint,20,40,0.4,0.5,0.391192948296151,1,4
50,Tournament,TwoPoint,20,40,0.5,0.05,0.2302761395288405,1,3
40,Tournament,TwoPoint,20,80,0.4,0.5,0.33951029774091923,1,8
50,Tournament,TwoPoint,20,40,0.5,0.1,0.2949206655721205,1,5
50,Tournament,TwoPoint,20,40,0.5,0.5,0.3857363874274909,1,4
40,Tournament,TwoPoint,20,80,0.5,0.05,0.1589383209618312,1,6
50,Tournament,TwoPoint,20,40,0.6,0.05,0.2741309889216035,1,4
40,Tournament,TwoPoint,20,80,0.5,0.1,0.24007438700403058,1,7
50,Tournament,TwoPoint,20,40,0.6,0.1,0.3299401943166744,1,3
50,Tournament,TwoPoint,20,40,0.6,0.5,0.3917567076269456,1,5
40,Tournament,TwoPoint,20,80,0.5,0.5,0.3413363674422035,1,8
50,Tournament,TwoPoint,20,40,0.7,0.05,0.30143130143934826,1,3
50,Tournament,TwoPoint,20,40,0.7,0.1,0.36884219112344385,1,4
40,Tournament,TwoPoint,20,80,0.6,0.05,0.21761539065718194,1,7
50,Tournament,TwoPoint,20,40,0.7,0.5,0.39940964547697305,1,4
40,Tournament,TwoPoint,20,80,0.6,0.1,0.2744791986617068,1,7
50,Tournament,TwoPoint,20,60,0.3,0.05,0.1729983838030888,1,5
50,Tournament,TwoPoint,20,60,0.3,0.1,0.256466294538838,1,5
40,Tournament,TwoPoint,20,80,0.6,0.5,0.35559952056699495,1,7
50,Tournament,TwoPoint,20,60,0.3,0.5,0.3782804578679801,1,6
40,Tournament,TwoPoint,20,80,0.7,0.05,0.2631088025050007,1,7
50,Tournament,TwoPoint,20,60,0.4,0.05,0.20711095839305646,1,5
40,Tournament,TwoPoint,20,80,0.7,0.1,0.2980654866947676,1,7
50,Tournament,TwoPoint,20,60,0.4,0.1,0.27511206472926686,1,6
40,Tournament,TwoPoint,20,80,0.7,0.5,0.3641560966732504,1,7
50,Tournament,TwoPoint,20,60,0.4,0.5,0.37957870012384526,1,6
50,Tournament,TwoPoint,20,60,0.5,0.05,0.2295027877188325,1,6
40,Tournament,TwoPoint,20,100,0.3,0.05,0.09150727264114814,1,8
50,Tournament,TwoPoint,20,60,0.5,0.1,0.3234193399244097,1,6
40,Tournament,TwoPoint,20,100,0.3,0.1,0.19208156236557483,1,8
50,Tournament,TwoPoint,20,60,0.5,0.5,0.3840175090902189,1,6
50,Tournament,TwoPoint,20,60,0.6,0.05,0.26181003273743986,1,5
40,Tournament,TwoPoint,20,100,0.3,0.5,0.3363178828135047,1,9
50,Tournament,TwoPoint,20,60,0.6,0.1,0.3256224454721422,1,6
40,Tournament,TwoPoint,20,100,0.4,0.05,0.1214730602739301,1,8
50,Tournament,TwoPoint,20,60,0.6,0.5,0.397358496810595,1,6
40,Tournament,TwoPoint,20,100,0.4,0.1,0.21733861942749916,1,8
50,Tournament,TwoPoint,20,60,0.7,0.05,0.31447352187600974,1,6
50,Tournament,TwoPoint,20,60,0.7,0.1,0.36074068181744634,1,7
40,Tournament,TwoPoint,20,100,0.4,0.5,0.3307662911770422,1,9
50,Tournament,TwoPoint,20,60,0.7,0.5,0.396159161409159,1,6
40,Tournament,TwoPoint,20,100,0.5,0.05,0.17489362758686577,1,8
50,Tournament,TwoPoint,20,80,0.3,0.05,0.1757440451194938,1,7
40,Tournament,TwoPoint,20,100,0.5,0.1,0.232562455163003,1,8
50,Tournament,TwoPoint,20,80,0.3,0.1,0.2603414369715712,1,8
40,Tournament,TwoPoint,20,100,0.5,0.5,0.3385867099875303,1,10
50,Tournament,TwoPoint,20,80,0.3,0.5,0.38056219893531257,1,8
40,Tournament,TwoPoint,20,100,0.6,0.05,0.20047471109696574,1,9
50,Tournament,TwoPoint,20,80,0.4,0.05,0.20150811239090646,1,7
60,Tournament,TwoPoint,20,20,0.3,0.05,0.2218813589993942,1,2
40,Tournament,TwoPoint,20,100,0.6,0.1,0.27047242227364865,1,8
50,Tournament,TwoPoint,20,80,0.4,0.1,0.2818561114359602,1,8
60,Tournament,TwoPoint,20,20,0.3,0.1,0.27842976549956633,1,2
60,Tournament,TwoPoint,20,20,0.3,0.5,0.39218621860190034,1,3
60,Tournament,TwoPoint,20,20,0.4,0.05,0.23170094778297826,1,2
60,Tournament,TwoPoint,20,20,0.4,0.1,0.3046381578313121,1,2
40,Tournament,TwoPoint,20,100,0.6,0.5,0.34510752049216203,1,10
50,Tournament,TwoPoint,20,80,0.4,0.5,0.388600168967972,1,9
60,Tournament,TwoPoint,20,20,0.4,0.5,0.397892399760011,1,2
60,Tournament,TwoPoint,20,20,0.5,0.05,0.26195821781631456,1,2
60,Tournament,TwoPoint,20,20,0.5,0.1,0.31828858211293604,1,2
50,Tournament,TwoPoint,20,80,0.5,0.05,0.22956090397052087,1,8
60,Tournament,TwoPoint,20,20,0.5,0.5,0.40049111531843473,1,2
40,Tournament,TwoPoint,20,100,0.7,0.05,0.25263914611568133,1,10
60,Tournament,TwoPoint,20,20,0.6,0.05,0.29515916143060467,1,2
60,Tournament,TwoPoint,20,20,0.6,0.1,0.34285031367007057,1,2
50,Tournament,TwoPoint,20,80,0.5,0.1,0.3069027930928451,1,9
60,Tournament,TwoPoint,20,20,0.6,0.5,0.403993568681285,1,3
40,Tournament,TwoPoint,20,100,0.7,0.1,0.30936556623052264,1,10
60,Tournament,TwoPoint,20,20,0.7,0.05,0.33037585605509184,1,2
60,Tournament,TwoPoint,20,20,0.7,0.1,0.37113812245056094,1,2
60,Tournament,TwoPoint,20,20,0.7,0.5,0.4130622922517677,1,2
50,Tournament,TwoPoint,20,80,0.5,0.5,0.3870513867134718,1,9
60,Tournament,TwoPoint,20,40,0.3,0.05,0.19516576483296416,1,4
40,Tournament,TwoPoint,20,100,0.7,0.5,0.36079260994629253,1,11
60,Tournament,TwoPoint,20,40,0.3,0.1,0.2710114152136317,1,4
50,Tournament,TwoPoint,20,80,0.6,0.05,0.2630708185778733,1,10
40,Tournament,TwoPoint,40,20,0.3,0.05,0.08550242294546637,1,6
60,Tournament,TwoPoint,20,40,0.3,0.5,0.39380152703897947,1,5
40,Tournament,TwoPoint,40,20,0.3,0.1,0.16453953718408543,1,5
50,Tournament,TwoPoint,20,80,0.6,0.1,0.3221734635904931,1,9
60,Tournament,TwoPoint,20,40,0.4,0.05,0.21877846763300451,1,5
40,Tournament,TwoPoint,40,20,0.3,0.5,0.2957989043085661,1,6
60,Tournament,TwoPoint,20,40,0.4,0.1,0.29272064823204497,1,5
40,Tournament,TwoPoint,40,20,0.4,0.05,0.11340336414120658,1,6
50,Tournament,TwoPoint,20,80,0.6,0.5,0.40199814346453416,1,10
60,Tournament,TwoPoint,20,40,0.4,0.5,0.39836888972712714,1,5
40,Tournament,TwoPoint,40,20,0.4,0.1,0.17341689370137012,1,6
60,Tournament,TwoPoint,20,40,0.5,0.05,0.25216321012104537,1,5
50,Tournament,TwoPoint,20,80,0.7,0.05,0.3227557419392768,1,9
60,Tournament,TwoPoint,20,40,0.5,0.1,0.3210119119829064,1,5
40,Tournament,TwoPoint,40,20,0.4,0.5,0.29288439275636163,1,6
60,Tournament,TwoPoint,20,40,0.5,0.5,0.40889077786612477,1,6
40,Tournament,TwoPoint,40,20,0.5,0.05,0.12890861393257563,1,6
50,Tournament,TwoPoint,20,80,0.7,0.1,0.35314939531297257,1,9
60,Tournament,TwoPoint,20,40,0.6,0.05,0.2889541953323698,1,5
40,Tournament,TwoPoint,40,20,0.5,0.1,0.21077063699901913,1,7
60,Tournament,TwoPoint,20,40,0.6,0.1,0.3456064760419932,1,5
50,Tournament,TwoPoint,20,80,0.7,0.5,0.40466851439688784,1,11
40,Tournament,TwoPoint,40,20,0.5,0.5,0.3023739184399321,1,7
60,Tournament,TwoPoint,20,40,0.6,0.5,0.4009387618671916,1,6
60,Tournament,TwoPoint,20,40,0.7,0.05,0.32121151718772206,1,5
40,Tournament,TwoPoint,40,20,0.6,0.05,0.15894996974320041,1,6
50,Tournament,TwoPoint,20,100,0.3,0.05,0.17208835250567714,1,10
60,Tournament,TwoPoint,20,40,0.7,0.1,0.3724915285785015,1,5
40,Tournament,TwoPoint,40,20,0.6,0.1,0.22485596075222955,1,7
60,Tournament,TwoPoint,20,40,0.7,0.5,0.414259578326769,1,5
50,Tournament,TwoPoint,20,100,0.3,0.1,0.2576968513801691,1,10
40,Tournament,TwoPoint,40,20,0.6,0.5,0.3073966101595201,1,7
60,Tournament,TwoPoint,20,60,0.3,0.05,0.19001792685652252,1,6
40,Tournament,TwoPoint,40,20,0.7,0.05,0.20626631291624112,1,7
60,Tournament,TwoPoint,20,60,0.3,0.1,0.27271816705870955,1,7
50,Tournament,TwoPoint,20,100,0.3,0.5,0.3898674263587699,1,12
40,Tournament,TwoPoint,40,20,0.7,0.1,0.2478220347544213,1,7
60,Tournament,TwoPoint,20,60,0.3,0.5,0.3908620414176113,1,7
40,Tournament,TwoPoint,40,20,0.7,0.5,0.30591891111750164,1,7
50,Tournament,TwoPoint,20,100,0.4,0.05,0.1964539197317201,1,10
60,Tournament,TwoPoint,20,60,0.4,0.05,0.21858254447465683,1,7
40,Tournament,TwoPoint,40,40,0.3,0.05,0.07148985263927404,1,12
50,Tournament,TwoPoint,20,100,0.4,0.1,0.27880998312092237,1,12
60,Tournament,TwoPoint,20,60,0.4,0.1,0.2933116687312342,1,8
60,Tournament,TwoPoint,20,60,0.4,0.5,0.3989034524493001,1,8
40,Tournament,TwoPoint,40,40,0.3,0.1,0.16424319843100765,1,12
50,Tournament,TwoPoint,20,100,0.4,0.5,0.38410736870707196,1,12
60,Tournament,TwoPoint,20,60,0.5,0.05,0.24910471631300793,1,8
50,Tournament,TwoPoint,20,100,0.5,0.05,0.22909731508489714,1,12
40,Tournament,TwoPoint,40,40,0.3,0.5,0.3074610138283089,1,13
60,Tournament,TwoPoint,20,60,0.5,0.1,0.3195004219875265,1,8
60,Tournament,TwoPoint,20,60,0.5,0.5,0.39368069595327904,1,8
50,Tournament,TwoPoint,20,100,0.5,0.1,0.3008412868857794,1,12
40,Tournament,TwoPoint,40,40,0.4,0.05,0.0946305249320708,1,12
60,Tournament,TwoPoint,20,60,0.6,0.05,0.2815429875240387,1,8
50,Tournament,TwoPoint,20,100,0.5,0.5,0.3749604821757893,1,14
40,Tournament,TwoPoint,40,40,0.4,0.1,0.18405452757863777,1,14
60,Tournament,TwoPoint,20,60,0.6,0.1,0.3396979804705419,1,9
60,Tournament,TwoPoint,20,60,0.6,0.5,0.40129729118040536,1,10
50,Tournament,TwoPoint,20,100,0.6,0.05,0.26691312074332074,1,13
40,Tournament,TwoPoint,40,40,0.4,0.5,0.2879641845563477,1,15
60,Tournament,TwoPoint,20,60,0.7,0.05,0.3312855227196779,1,9
50,Tournament,TwoPoint,20,100,0.6,0.1,0.33055982624063196,1,13
60,Tournament,TwoPoint,20,60,0.7,0.1,0.3655246973042505,1,8
40,Tournament,TwoPoint,40,40,0.5,0.05,0.12616847232561054,1,14
60,Tournament,TwoPoint,20,60,0.7,0.5,0.4177394989754392,1,9
50,Tournament,TwoPoint,20,100,0.6,0.5,0.3946153806816294,1,15
70,Tournament,TwoPoint,20,20,0.3,0.05,0.19531447755805684,1,2
70,Tournament,TwoPoint,20,20,0.3,0.1,0.2704025702190627,1,2
40,Tournament,TwoPoint,40,40,0.5,0.1,0.1950035522929132,1,14
70,Tournament,TwoPoint,20,20,0.3,0.5,0.376966262684385,1,3
60,Tournament,TwoPoint,20,80,0.3,0.05,0.18885740711963142,1,10
