InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,20,0.3,0.02,0.05402147917939563,1,1
40,Tournament,TwoPoint,20,20,0.3,0.05,0.06297746581527558,1,1
40,Tournament,TwoPoint,20,20,0.3,0.1,0.1422537945159836,1,1
40,Tournament,TwoPoint,20,20,0.4,0.02,0.057412298656079136,1,1
40,Tournament,TwoPoint,20,20,0.4,0.05,0.08393840523724737,0.6976657189884782,1
40,Tournament,TwoPoint,20,20,0.4,0.1,0.17164217342579577,1,1
40,Tournament,TwoPoint,20,20,0.5,0.02,0.08777920906117774,1,1
40,Tournament,TwoPoint,20,20,0.5,0.05,0.13053098128823523,1,1
40,Tournament,TwoPoint,20,20,0.5,0.1,0.19785492527562848,1,1
40,Tournament,TwoPoint,20,20,0.6,0.02,0.1140098502404822,1,1
40,Tournament,TwoPoint,20,20,0.6,0.05,0.17623246104673942,1,1
40,Tournament,TwoPoint,20,20,0.6,0.1,0.24083018198340933,1,1
40,Tournament,TwoPoint,20,20,0.7,0.02,0.152310418532133,1,1
40,Tournament,TwoPoint,20,20,0.7,0.05,0.23095171349670462,1,1
40,Tournament,TwoPoint,20,20,0.7,0.1,0.2900526439046853,1,1
40,Tournament,TwoPoint,20,40,0.3,0.02,0.030082619533359126,0.2737650147164108,2
40,Tournament,TwoPoint,20,40,0.3,0.05,0.048741344745715794,1,2
40,Tournament,TwoPoint,20,40,0.3,0.1,0.13660934510421288,1,2
40,Tournament,TwoPoint,20,40,0.4,0.02,0.03279097259989444,0.552979078832233,2
40,Tournament,TwoPoint,20,40,0.4,0.05,0.07201088904111025,1,2
40,Tournament,TwoPoint,20,40,0.4,0.1,0.16305086475826205,1,3
40,Tournament,TwoPoint,20,40,0.5,0.02,0.032416615840887404,0.3995306658181529,2
40,Tournament,TwoPoint,20,40,0.5,0.05,0.10804163642491277,1,2
40,Tournament,TwoPoint,20,40,0.5,0.1,0.20321934887874218,1,3
40,Tournament,TwoPoint,20,40,0.6,0.02,0.05907083919348203,1,3
40,Tournament,TwoPoint,20,40,0.6,0.05,0.1659497439880144,1,3
40,Tournament,TwoPoint,20,40,0.6,0.1,0.235320902667788,1,2
40,Tournament,TwoPoint,20,40,0.7,0.02,0.12099854349140404,1,3
40,Tournament,TwoPoint,20,40,0.7,0.05,0.21507765967105189,1,3
40,Tournament,TwoPoint,20,40,0.7,0.1,0.29392879413823486,1,2
40,Tournament,TwoPoint,20,60,0.3,0.02,0.029657349878225596,0.15606763429597487,3
40,Tournament,TwoPoint,20,60,0.3,0.05,0.04330894155069947,1,3
40,Tournament,TwoPoint,20,60,0.3,0.1,0.1245287483098345,1,3
40,Tournament,TwoPoint,20,60,0.4,0.02,0.030155481832060814,0.2180415241428685,3
40,Tournament,TwoPoint,20,60,0.4,0.05,0.05883081892755194,0.47570951169634396,3
40,Tournament,TwoPoint,20,60,0.4,0.1,0.1658161924590672,1,4
40,Tournament,TwoPoint,20,60,0.5,0.02,0.03257204014351179,0.3975021875745764,4
40,Tournament,TwoPoint,20,60,0.5,0.05,0.10545396090404967,1,3
40,Tournament,TwoPoint,20,60,0.5,0.1,0.20012709505403448,1,4
40,Tournament,TwoPoint,20,60,0.6,0.02,0.04907706402753952,1,4
40,Tournament,TwoPoint,20,60,0.6,0.05,0.15930072324902353,1,4
40,Tournament,TwoPoint,20,60,0.6,0.1,0.24056060502449494,1,4
40,Tournament,TwoPoint,20,60,0.7,0.02,0.1086876708633369,1,4
40,Tournament,TwoPoint,20,60,0.7,0.05,0.22451974747411677,1,4
40,Tournament,TwoPoint,20,60,0.7,0.1,0.287895156612138,1,4
40,Tournament,TwoPoint,20,80,0.3,0.02,0.03136293701414713,0.2653329090764458,4
40,Tournament,TwoPoint,20,80,0.3,0.05,0.038281383181119975,1,4
40,Tournament,TwoPoint,20,80,0.3,0.1,0.12543191983888508,1,5
40,Tournament,TwoPoint,20,80,0.4,0.02,0.03061015125776333,0.22806459311112878,4
40,Tournament,TwoPoint,20,80,0.4,0.05,0.0707238063637265,1,5
40,Tournament,TwoPoint,20,80,0.4,0.1,0.16359112591137578,1,5
40,Tournament,TwoPoint,20,80,0.5,0.02,0.03853023239792943,1,5
40,Tournament,TwoPoint,20,80,0.5,0.05,0.11296206705631892,1,5
40,Tournament,TwoPoint,20,80,0.5,0.1,0.20236848308869518,1,5
40,Tournament,TwoPoint,20,80,0.6,0.02,0.053084762547677904,1,5
40,Tournament,TwoPoint,20,80,0.6,0.05,0.15891754268230673,1,5
40,Tournament,TwoPoint,20,80,0.6,0.1,0.24148801236858167,1,5
40,Tournament,TwoPoint,20,80,0.7,0.02,0.10347573556072837,1,5
40,Tournament,TwoPoint,20,80,0.7,0.05,0.21796167869602534,1,6
50,Tournament,TwoPoint,20,20,0.3,0.02,0.10279739811989963,1,1
50,Tournament,TwoPoint,20,20,0.3,0.05,0.12347636585132847,1,1
50,Tournament,TwoPoint,20,20,0.3,0.1,0.18940808304067122,1,1
50,Tournament,TwoPoint,20,20,0.4,0.02,0.1144046349098617,1,1
40,Tournament,TwoPoint,20,80,0.7,0.1,0.2957161603684132,1,6
50,Tournament,TwoPoint,20,20,0.4,0.05,0.1565699089606135,1,1
50,Tournament,TwoPoint,20,20,0.4,0.1,0.22983970020145084,1,1
50,Tournament,TwoPoint,20,20,0.5,0.02,0.1336591653361065,1,1
40,Tournament,TwoPoint,20,100,0.3,0.02,0.028238702228313973,0.06818583005696863,6
50,Tournament,TwoPoint,20,20,0.5,0.05,0.1932158332216858,1,1
50,Tournament,TwoPoint,20,20,0.5,0.1,0.2605388038466633,1,1
50,Tournament,TwoPoint,20,20,0.6,0.02,0.1634792582649955,1,1
50,Tournament,TwoPoint,20,20,0.6,0.05,0.24586958475352816,1,1
40,Tournament,TwoPoint,20,100,0.3,0.05,0.03666311953810864,0.5442287805266088,6
50,Tournament,TwoPoint,20,20,0.6,0.1,0.29714035847100795,1,2
50,Tournament,TwoPoint,20,20,0.7,0.02,0.2377247703625319,1,1
50,Tournament,TwoPoint,20,20,0.7,0.05,0.292768035585508,1,1
40,Tournament,TwoPoint,20,100,0.3,0.1,0.12821741508308448,1,6
50,Tournament,TwoPoint,20,20,0.7,0.1,0.3359759129770201,1,1
50,Tournament,TwoPoint,20,40,0.3,0.02,0.04506389184735408,1,3
50,Tournament,TwoPoint,20,40,0.3,0.05,0.09381109818643023,1,2
40,Tournament,TwoPoint,20,100,0.4,0.02,0.028826469520490304,0.23371251292657705,6
50,Tournament,TwoPoint,20,40,0.3,0.1,0.18673178329354875,1,3
50,Tournament,TwoPoint,20,40,0.4,0.02,0.048108693710938094,1,2
40,Tournament,TwoPoint,20,100,0.4,0.05,0.06998336925968897,1,6
50,Tournament,TwoPoint,20,40,0.4,0.05,0.12507783906001596,1,2
50,Tournament,TwoPoint,20,40,0.4,0.1,0.23002077700386367,1,3
40,Tournament,TwoPoint,20,100,0.4,0.1,0.16086780340586593,1,7
50,Tournament,TwoPoint,20,40,0.5,0.02,0.07328870939644237,1,3
50,Tournament,TwoPoint,20,40,0.5,0.05,0.1759847865943815,1,3
40,Tournament,TwoPoint,20,100,0.5,0.02,0.03654209787069265,1,6
50,Tournament,TwoPoint,20,40,0.5,0.1,0.25571174662405555,1,3
50,Tournament,TwoPoint,20,40,0.6,0.02,0.10143921823234513,1,3
40,Tournament,TwoPoint,20,100,0.5,0.05,0.10835732908230979,1,7
50,Tournament,TwoPoint,20,40,0.6,0.05,0.21622463878681433,1,3
50,Tournament,TwoPoint,20,40,0.6,0.1,0.3021744242731454,1,3
50,Tournament,TwoPoint,20,40,0.7,0.02,0.1740875310146023,1,3
40,Tournament,TwoPoint,20,100,0.5,0.1,0.20009807540621305,1,7
50,Tournament,TwoPoint,20,40,0.7,0.05,0.28165556829566396,1,3
50,Tournament,TwoPoint,20,40,0.7,0.1,0.3525812135987325,1,4
40,Tournament,TwoPoint,20,100,0.6,0.02,0.04580027415794866,1,7
50,Tournament,TwoPoint,20,60,0.3,0.02,0.026906502355233227,0.297695504344541,3
50,Tournament,TwoPoint,20,60,0.3,0.05,0.08699244595694589,1,4
40,Tournament,TwoPoint,20,100,0.6,0.05,0.1560771699902833,1,8
50,Tournament,TwoPoint,20,60,0.3,0.1,0.19368144836843942,1,4
40,Tournament,TwoPoint,20,100,0.6,0.1,0.23652602709879963,1,8
50,Tournament,TwoPoint,20,60,0.4,0.02,0.045322886941515456,1,4
50,Tournament,TwoPoint,20,60,0.4,0.05,0.12342828787448434,1,4
40,Tournament,TwoPoint,20,100,0.7,0.02,0.10256532438774663,1,8
50,Tournament,TwoPoint,20,60,0.4,0.1,0.21978188064658982,1,5
50,Tournament,TwoPoint,20,60,0.5,0.02,0.04741555752647326,1,4
40,Tournament,TwoPoint,20,100,0.7,0.05,0.2189466908004403,1,8
50,Tournament,TwoPoint,20,60,0.5,0.05,0.15887228817647764,1,5
40,Tournament,TwoPoint,20,100,0.7,0.1,0.27814540648220304,1,8
50,Tournament,TwoPoint,20,60,0.5,0.1,0.25611630537291913,1,5
40,Tournament,TwoPoint,40,20,0.3,0.02,0.031643887789974234,0.6349932384058548,4
50,Tournament,TwoPoint,20,60,0.6,0.02,0.08447106160818744,1,5
40,Tournament,TwoPoint,40,20,0.3,0.05,0.04521928656454121,0.7419457481505052,3
50,Tournament,TwoPoint,20,60,0.6,0.05,0.21974352803075559,1,5
40,Tournament,TwoPoint,40,20,0.3,0.1,0.1146846966846205,1,4
