Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
2432935,0,7547,6156.94,188
2446415,1,8126,6323.48,189
2446415,2,8126,6123.44,189
2446782,3,8493,6202.88,189
2446782,4,8493,6591.78,189
2485988,5,8996,6777.26,192
2499139,6,9246,6898.64,193
2511752,7,8958,7302.18,194
2538140,8,9544,7752.42,196
2538140,9,9544,7948.06,196
2538140,10,9544,8335.48,196
2538140,11,9544,8510.6,196
2562774,12,8376,8576.48,198
2562774,13,8376,8464.32,198
2562774,14,8376,8249.36,198
2562774,15,8376,8072.84,198
2562774,16,8376,7953.46,198
2562774,17,8376,7871.7,198
2562774,18,8376,7638.36,198
2562774,19,8376,7818.54,198
2562907,20,8509,7367.48,198
2563005,21,8607,7517.54,198
2563227,22,8829,7732.06,198
2563227,23,8829,8155.8,198
2563227,24,8829,7850.98,198
2563227,25,8829,7974.98,198
2563240,26,8842,8200.76,198
2563240,27,8842,8101.58,198
2563240,28,8842,8124.94,198
2576117,29,8818,8028.86,199
2576117,30,8818,8004.96,199
2576117,31,8818,8079.72,199
2576886,32,9587,8087.46,199
2576886,33,9587,7902.32,199
2577155,34,9856,8276.32,199
2577155,35,9856,8430.16,199
2577155,36,9856,8698.14,199
2577155,37,9856,8904.86,199
2578009,38,10710,8837.94,199
2578009,39,10710,8986.64,199
2578009,40,10710,8916.66,199
2578009,41,10710,8768.98,199
2578009,42,10710,8840.92,199
2578009,43,10710,9101.84,199
2578009,44,10710,9273.1,199
2578009,45,10710,9376.06,199
2578009,46,10710,9238.28,199
2578009,47,10710,9685.08,199
2578009,48,10710,9708.12,199
2578009,49,10710,9608,199
2578009,50,10710,9743.66,199
2590972,51,10772,9841.3,200
2590972,52,10772,9698.52,200
2590972,53,10772,9615.66,200
2590972,54,10772,9808.62,200
2591040,55,10840,9921.58,200
2591040,56,10840,9834.84,200
2591040,57,10840,9742.44,200
2591040,58,10840,9488.02,200
2591040,59,10840,9743.1,200
