Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
2433067,0,7679,6731.44,188
2433067,1,7679,7103.94,188
2459253,2,8063,7371.5,190
2485137,3,8145,7648.74,192
2523264,4,7569,7832.84,195
2523264,5,7569,7619.32,195
2549883,6,8386,7850.2,197
2549883,7,8386,7912.04,197
2549883,8,8386,7577.2,197
2549883,9,8386,7824.14,197
2549883,10,8386,8027.7,197
2549883,11,8386,8070.66,197
2549883,12,8386,8060.82,197
2549883,13,8386,7805.86,197
2549883,14,8386,7907.42,197
2549883,15,8386,7799.58,197
2549883,16,8386,7545.78,197
2549883,17,8386,7771.62,197
2549883,18,8386,7858.68,197
2549883,19,8386,7835.58,197
2562797,20,8399,7737.1,198
2562797,21,8399,7344,198
2562797,22,8399,7471.38,198
2562797,23,8399,7692.9,198
2562797,24,8399,7863.52,198
2563573,25,9175,8166.2,198
2589843,26,9643,7977.36,200
2590000,27,9800,8164.06,200
2590000,28,9800,8376.62,200
2590000,29,9800,8380.54,200
2590000,30,9800,8405.78,200
2590000,31,9800,8683.56,200
2590000,32,9800,8206.88,200
2590000,33,9800,8495.6,200
2590000,34,9800,8904.3,200
2603030,35,9929,8872.04,201
2603252,36,10151,9185.28,201
2603252,37,10151,9035.16,201
2603252,38,10151,8876.98,201
2603252,39,10151,8873.88,201
