MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
11701943,11068212.22,0,26496,287
11818218,11162071.8375,1,20728,290
11943278,11235208.34,2,23745,293
11943278,11287134.2725,3,23745,293
12029262,11322226.325,4,28367,295
12029262,11353540.9725,5,28367,295
12029262,11366643.2625,6,28367,295
12069629,11378049.015,7,28053,296
12105084,11426232.47,8,22827,297
12105084,11450912.8075,9,22827,297
12105084,11474877.07,10,22827,297
12105084,11473336.735,11,22827,297
12145765,11498480.9525,12,22827,298
12192041,11513683.5275,13,28422,299
12192041,11535541.8475,14,28422,299
12192041,11564147.455,15,28422,299
12192041,11579464.19,16,28422,299
12192041,11581847.3075,17,28422,299
12192041,11605148.9525,18,28422,299
12192041,11606697.5425,19,28422,299
12229815,11635636.855,20,25515,300
12229815,11635336.0625,21,25515,300
12229815,11610055.455,22,25515,300
12229815,11631498.59,23,25515,300
12229815,11641597.4825,24,25515,300
12229815,11624490.4725,25,25515,300
12229815,11631229.5475,26,25515,300
12229815,11642697.2975,27,25515,300
12229815,11645634.645,28,25515,300
12229815,11645446.005,29,25515,300
12229815,11657625.6825,30,25515,300
12232395,11650638.8925,31,28095,300
12437446,11635701.1025,32,29741,305
12437446,11658154.205,33,29741,305
12437446,11647418.1625,34,29741,305
12437446,11649433.9875,35,29741,305
12437446,11629256.435,36,29741,305
12437446,11652545.5325,37,29741,305
12437446,11662260.08,38,29741,305
12437446,11664011.825,39,29741,305
12437446,11666769.465,40,29741,305
12437446,11663299.925,41,29741,305
12437446,11643984.9975,42,29741,305
12437446,11635019.375,43,29741,305
12437446,11619083.7325,44,29741,305
12437446,11621953.3325,45,29741,305
12437446,11605058.865,46,29741,305
12437446,11607097.1475,47,29741,305
12437446,11606496.9375,48,29741,305
12437446,11602761.11,49,29741,305
