MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
12410893,11646826.84,0,21174,289
12461212,11786481.67,1,28622,290
12461212,11859001.42,2,28622,290
12500633,11924382.045,3,25172,291
12500633,11975582.415,4,25172,291
12583415,11982259.84,5,22212,293
12584456,12046782.095,6,23253,293
12593498,12040311.575,7,32295,293
12765725,12087060.495,8,33038,297
12765725,12111946.885,9,33038,297
12766861,12113048.425,10,34174,297
12766861,12115983.38,11,34174,297
12892899,12133038.615,12,31599,300
12976552,12173675.4,13,29510,302
12976555,12201236.9975,14,29513,302
12976555,12212112.8475,15,29513,302
12976555,12221645.2,16,29513,302
12976555,12222568.3075,17,29513,302
12976555,12240698.935,18,29513,302
12976555,12256446.405,19,29513,302
12976555,12269359.035,20,29513,302
13025023,12302062.7425,21,35110,303
13025023,12330279.535,22,35110,303
13025023,12358335.0025,23,35110,303
13069160,12337116.39,24,36376,304
13110525,12356805.61,25,34870,305
13110525,12369972.28,26,34870,305
13110525,12360001.555,27,34870,305
13110525,12348160.015,28,34870,305
13110525,12383276.325,29,34870,305
13110525,12396825.7875,30,34870,305
13110525,12405354.49,31,34870,305
13110525,12421769.265,32,34870,305
13110525,12414471.35,33,34870,305
13110525,12408853.13,34,34870,305
13110525,12435744.99,35,34870,305
13110525,12428315.9625,36,34870,305
13110525,12421934.2475,37,34870,305
13195631,12442356.9525,38,34234,307
13195631,12437737.085,39,34234,307
13195631,12421949.1225,40,34234,307
13195631,12417185.305,41,34234,307
13195631,12428220.13,42,34234,307
13195631,12475176.2925,43,34234,307
13195631,12458324.6725,44,34234,307
13195631,12440222.9375,45,34234,307
13195631,12427161.8875,46,34234,307
13195631,12417500.2475,47,34234,307
13195631,12403238.61,48,34234,307
13195631,12419533.13,49,34234,307
