Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
1,0.006958816834145225,1,0,0,18.15
2,0.008661115222223218,0.998,0.3,0.6,15.518
3,0.0059266595224969085,1,0,0,16.384
4,0.00817120460109602,1,0,0,12.908000000000001
5,0.006565859197522161,1,0,0,13.956
10,0.0074939180310797035,0.998,0.2,0.4,13.468
