Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
18488,0,16638,12814.46,185
18144,1,16284,14325.91,186
18153,2,16283,15129.14,187
17802,3,15912,15980.33,189
19207,4,17317,16334.81,189
16209,5,14309,16858.08,190
19226,6,17316,17175.43,191
19226,7,17316,17653.97,191
19226,8,17316,18377.96,191
19226,9,17316,18790,191
19226,10,17316,19244.58,191
22525,11,20615,19484.88,191
22525,12,20615,19674.27,191
22663,13,20743,20235.7,192
22663,14,20743,20308.36,192
22348,15,20418,20680.02,193
22348,16,20418,20637.33,193
22348,17,20418,20827.77,193
22348,18,20418,20879.4,193
22629,19,20699,21194.96,193
21661,20,19711,21437.54,195
21661,21,19711,21706.11,195
23170,22,21190,21718.66,198
23170,23,21190,21551.7,198
23170,24,21190,21880.13,198
23170,25,21190,22264.74,198
23170,26,21190,22209.63,198
23170,27,21190,22020.27,198
23170,28,21190,22334.51,198
23170,29,21190,22659.78,198
23170,30,21190,22830.71,198
23170,31,21190,22711.38,198
23170,32,21190,22697.95,198
23170,33,21190,22758.24,198
23170,34,21190,22885.08,198
23170,35,21190,22855.69,198
23170,36,21190,23153.24,198
23170,37,21190,23370.77,198
22551,38,20561,23081.1,199
22551,39,20561,23328.49,199
22551,40,20561,23080.03,199
22551,41,20561,23031.42,199
22551,42,20561,23038.08,199
22551,43,20561,23103.82,199
22551,44,20561,23112.16,199
22551,45,20561,23014.12,199
22551,46,20561,22982.78,199
23071,47,21081,22991.2,199
23071,48,21081,23189.04,199
23071,49,21081,22899.7,199
23071,50,21081,22777.23,199
23071,51,21081,23028.49,199
23071,52,21081,22933.43,199
23071,53,21081,22713.49,199
23071,54,21081,23057.73,199
23132,55,21142,22923.05,199
23132,56,21142,22874.09,199
23132,57,21142,22838.47,199
23132,58,21142,22782.5,199
23132,59,21142,22819.27,199
23132,60,21142,22951.82,199
23132,61,21142,23162.56,199
23132,62,21142,22959.79,199
23132,63,21142,22987.26,199
23132,64,21142,22952.4,199
23132,65,21142,23181.88,199
23132,66,21142,23030.65,199
23132,67,21142,23052.48,199
23132,68,21142,23214.95,199
23132,69,21142,22923.45,199
23132,70,21142,22917.95,199
23132,71,21142,23081.34,199
23132,72,21142,23147.5,199
23132,73,21142,23169.53,199
23568,74,21578,22742.92,199
23568,75,21578,22947.14,199
23568,76,21578,22826.09,199
23568,77,21578,23058.08,199
23568,78,21578,23284.57,199
23568,79,21578,23243.91,199
23568,80,21578,23164.53,199
23568,81,21578,23347.88,199
23568,82,21578,23553.59,199
23568,83,21578,23244.69,199
23568,84,21578,22960.61,199
23568,85,21578,23074.05,199
23568,86,21578,23139.75,199
23568,87,21578,23011.4,199
23568,88,21578,23067.26,199
23568,89,21578,22918.77,199
23568,90,21578,23180.71,199
23568,91,21578,23168.56,199
23568,92,21578,23204.6,199
23568,93,21578,22917.79,199
23568,94,21578,22979.08,199
23568,95,21578,22869.29,199
23568,96,21578,22937.84,199
23568,97,21578,22976.7,199
23568,98,21578,23196.85,199
23736,99,21746,23048.33,199
