MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
12335718,11613524.94,0,22854,288
12339700,11747986.7375,1,26836,288
12511417,11848255.455,2,27541,292
12511417,11916507.82,3,27541,292
12552226,11955474.805,4,25597,293
12678056,11997216.5375,5,23168,296
12724597,12020781.835,6,26956,297
12854476,12051824.9125,7,28576,300
12854476,12072969.8,8,28576,300
12854476,12104566.055,9,28576,300
12854476,12128432.245,10,28576,300
12854476,12130836.19,11,28576,300
12854476,12141879.9175,12,28576,300
12854476,12147599.4775,13,28576,300
12854476,12167469.8575,14,28576,300
12854476,12178019.795,15,28576,300
12854476,12203124.6425,16,28576,300
12854936,12219637.835,17,29036,300
12856948,12227504.2625,18,31048,300
12898194,12250882.3275,19,29541,301
12898194,12251724.5775,20,29541,301
12984184,12239691.9375,21,30025,303
12984184,12233011.8925,22,30025,303
12984184,12241726.385,23,30025,303
12984184,12246684.4775,24,30025,303
12984184,12227837.765,25,30025,303
12984184,12196428.74,26,30025,303
12984184,12187339.2375,27,30025,303
12984184,12208720.24,28,30025,303
12984184,12214376.9525,29,30025,303
12984184,12231846.235,30,30025,303
12984184,12254356.1175,31,30025,303
12984184,12274504.3175,32,30025,303
12984184,12276266.415,33,30025,303
12984184,12274048.73,34,30025,303
12984184,12268804.665,35,30025,303
12984184,12310632.055,36,30025,303
12984184,12300342.345,37,30025,303
12984184,12282450.7625,38,30025,303
12984184,12277883.84,39,30025,303
12984184,12278774.8925,40,30025,303
12984184,12298243.17,41,30025,303
12984184,12305654.665,42,30025,303
12984184,12319615.555,43,30025,303
12984184,12327969.935,44,30025,303
12984184,12323172.695,45,30025,303
12984184,12309061.09,46,30025,303
12984184,12310180.5675,47,30025,303
12988394,12312682.1125,48,34235,303
12988394,12317456.625,49,34235,303
