Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
wuf-A1\wuf20-88-A1,0.11487657486552472,1,0,0,1261.2566666666667
wuf-A1\wuf20-91-A1,0.08172480876046764,0.88,2,2,1019.3333333333334
wuf-M1\wuf20-78-M1,0.005625366866409756,1,0,0,973.5366666666667
wuf-M1\wuf50-201-M1,0.06220746363061353,0.00980392156862745,4.744503862150921,6.666666666666667,1720.4705882352944
wuf-N1\wuf20-78-N1,0.005439472232378609,1,0,0,982.2366666666667
wuf-N1\wuf50-201-N1,0,0,4.686274509803922,7,1629.7745098039213
wuf-Q1\wuf20-78-Q1,0.04672730239051682,1,0,0,990.0133333333333
wuf-Q1\wuf50-201-Q1,0.4115143569866295,0.0196078431372549,4.9901960784313735,7.333333333333333,1659.186274509804
wuf-R1\wuf20-78-R1,0.046934697295795656,1,0,0,984.6866666666666
wuf-R1\wuf50-201-R1,0,0,5.205882352941177,8,1635.6960784313726
