MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
12936930,12217657.9375,0,25948,287
13076299,12351434.3225,1,30359,290
13208037,12451991.2525,2,27139,293
13208037,12556599.44,3,27139,293
13299684,12607142.635,4,28814,295
13299685,12645352.64,5,28815,295
13570861,12716030.6975,6,30075,301
13570861,12746615.11,7,30075,301
13570861,12763952.5825,8,30075,301
13570861,12787990.355,9,30075,301
13570861,12820888.9325,10,30075,301
13570861,12845471.9475,11,30075,301
13570861,12868658.16,12,30075,301
13570861,12898139.4575,13,30075,301
13570861,12912398.595,14,30075,301
13570861,12947125.595,15,30075,301
13570861,12972104.3925,16,30075,301
13570861,12954182.0925,17,30075,301
13662573,12925447.1675,18,31815,303
13662573,12929720.5525,19,31815,303
13709312,12926177.9325,20,33568,304
13709312,12939646.605,21,33568,304
13709312,12950250.43,22,33568,304
13709312,12939667.3725,23,33568,304
13709312,12944509.89,24,33568,304
13755357,12986367.725,25,34627,305
13755357,13008127.415,26,34627,305
13755357,13029167.585,27,34627,305
13755357,13030302.145,28,34627,305
13755357,13015729.145,29,34627,305
13755357,12975200.855,30,34627,305
13755357,13009276.1475,31,34627,305
13755357,12988590.28,32,34627,305
13756001,13001970.4275,33,35271,305
13756001,13009248.115,34,35271,305
13756001,13018024.4875,35,35271,305
13756001,13026486.58,36,35271,305
13756534,13062651.0775,37,35804,305
13756534,13052111.8875,38,35804,305
13756534,13048567.2,39,35804,305
13756534,13028003.9275,40,35804,305
13756534,13046374.175,41,35804,305
13799693,13031039.4175,42,33977,306
13799693,13029011.88,43,33977,306
13799693,13036117.62,44,33977,306
13799693,13039137.8975,45,33977,306
13799693,13022300.91,46,33977,306
13799693,13006334.4525,47,33977,306
13799693,13038174.0825,48,33977,306
13799693,13039001.3925,49,33977,306
