Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
10,0.018091633521679824,0.994,0.6,1.2,6.2540000000000004
20,0.022006880842952853,0.9960000000000001,0.4,0.8,4.268
30,0.017547835253661655,0.998,0.2,0.4,4.232
40,0.020298444662963284,0.9960000000000001,0.4,0.8,4.232
50,0.017891508497550043,0.984,1.1333333333333333,1.8,4.26
100,0.01906114821910284,0.998,0.3,0.6,4.255999999999999
