MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
11288679,10647411.075,0,21255,288
11288679,10746284.815,1,21255,288
11288679,10809778.3575,2,21255,288
11445021,10878228.265,3,21105,292
11602448,10922345.875,4,22040,296
11602448,10960999.3975,5,22040,296
11602448,10997295.4625,6,22040,296
11602448,11039895.345,7,22040,296
11602448,11048411.87,8,22040,296
11644519,11095837.3675,9,24988,297
11644519,11093728.94,10,24988,297
11644951,11084788.9425,11,25420,297
11723953,11100962.07,12,26176,299
11723953,11103852.4425,13,26176,299
11723953,11102719.05,14,26176,299
11723953,11121919.6925,15,26176,299
11762332,11134457.51,16,25432,300
11762332,11147571.1875,17,25432,300
11762332,11159101.155,18,25432,300
11762332,11187672.32,19,25432,300
11803987,11168762.6625,20,27964,301
11803987,11217783.15,21,27964,301
11803987,11239153.7075,22,27964,301
11804392,11244005.14,23,28369,301
11804392,11246937.8,24,28369,301
11804392,11238600.365,25,28369,301
11805915,11237764.72,26,29892,301
11843686,11253083.0675,27,28540,302
11883396,11257412.7375,28,29127,303
11884276,11281774.565,29,30007,303
11917455,11286545.3425,30,24063,304
11919268,11308133.855,31,25876,304
11919268,11301172.9825,32,25876,304
11919268,11318825.9575,33,25876,304
11919268,11342112.115,34,25876,304
11919268,11331975.5125,35,25876,304
11919268,11295046.28,36,25876,304
11919268,11317243.5075,37,25876,304
11919478,11315032.17,38,26086,304
11919478,11328825.715,39,26086,304
11919478,11298927.295,40,26086,304
11919478,11327240.7,41,26086,304
11919478,11334998.1325,42,26086,304
11919478,11330929.0275,43,26086,304
11919478,11329950.5825,44,26086,304
11919478,11318408.1725,45,26086,304
11958739,11307827.3875,46,26224,305
11958739,11287583.795,47,26224,305
11958739,11307774.995,48,26224,305
11958739,11307249.6775,49,26224,305
