Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
"0,2",0.011679330635347096,0.9960000000000001,0.4,0.8,17
"0,3",0.013242254644204924,1,0,0,16.144
"0,4",0.009459703291219815,0.998,0.2,0.4,19.896
"0,5",0.00813678799855536,0.998,0.3,0.6,21.722
"0,6",0.010829166144072875,0.994,0.5333333333333334,1,21.434
"0,7",0.011020260398682296,0.9960000000000001,0.33333333333333337,0.6,22.156
"0,8",0.010740188567511867,0.998,0.2,0.4,21.424
