MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses,AdaptiveMutationRate,ASD
16050675,15213192.545,0,24665,286,0,0
16057851,15314769.64,1,31841,286,0.01998246926243073,14086.976670756545
16057851,15397580.27,2,31841,286,0.01998272986812944,13878.04399888739
16394560,15488537.865,3,32340,292,0.01998249717734217,14360.120944169432
16512473,15562913.7425,4,38183,294,0.019982624718907865,14255.388988632225
16572155,15684080.13,5,41830,295,0.019981698359019848,15282.247458677952
16572155,15734423.6325,6,41830,295,0.01998085838293192,15980.448348215157
16572155,15802142.915,7,41830,295,0.019982837277746274,14233.378846931064
16572155,15896765.2325,8,41830,295,0.019983602368818673,13598.353317607518
16572540,16003484.5025,9,42215,295,0.019984688950134794,12868.986396652772
16794790,16070755.38,10,40325,299,0.019983490846376437,13827.590447944698
16798891,16126477.6575,11,44426,299,0.01998485835519308,12811.044386007445
17021180,16176722.0875,12,42575,303,0.01998609135031011,11845.319116128974
17022818,16208218.365,13,44213,303,0.01998522602202615,12582.821837083677
17022818,16277753.015,14,44213,303,0.019984806655929034,12941.507785599068
17022818,16354362.655,15,44213,303,0.019987000285827068,11143.797497683456
17022818,16321092.88,16,44213,303,0.019986208751873943,11746.395214685448
17134605,16386356.8225,17,43930,305,0.019986624337534408,11467.779894139157
17134605,16410993.585,18,43930,305,0.01998565359725187,12299.820121667755
17306055,16456110.2175,19,47275,308,0.019985122080824633,12883.488351643797
17306055,16517545.595,20,47275,308,0.019986905228025466,11338.365865966985
17306055,16543704.63,21,47275,308,0.019986748847940588,11473.860411130489
17306055,16580416.29,22,47275,308,0.0199862494482447,11906.57634759667
17306055,16604275.5775,23,47275,308,0.01998591261967372,12198.441140616018
17306055,16647424.25,24,47275,308,0.019987274501953395,11019.37612849566
17306055,16674442.61,25,47275,308,0.019986289184417586,11910.63460488797
17306055,16705889.7025,26,47275,308,0.01998770542004427,10645.604830524208
17307916,16707359.6,27,49136,308,0.019986866244897924,11446.212182101484
17307916,16712027.92,28,49136,308,0.019987737982075142,10618.008722361908
17307916,16743121.6975,29,49136,308,0.0199876399639969,10702.937679682589
17360859,16761699.305,30,46044,309,0.019986395482491485,11818.16420469161
17360859,16764580.1225,31,46044,309,0.019987915230641213,10530.395142218595
17360859,16778040.275,32,46044,309,0.019987999206739993,10423.458472266886
17360859,16765553.395,33,46044,309,0.019989026486070177,9530.710672825357
17360859,16769173.93,34,46044,309,0.01998862974233604,9875.48634610052
17360859,16793775.0975,35,46044,309,0.01998908885578985,9476.511787386891
17360859,16780896.69,36,46044,309,0.019988851615512754,9682.673866601292
17360859,16790420.31,37,46044,309,0.019988161121202094,10282.742083290452
17360859,16798837.405,38,46044,309,0.0199869650933245,11360.405678882573
17360859,16807119.26,39,46044,309,0.019988247541831265,10208.698570659282
17417388,16781351.4825,40,46538,310,0.019986648029152287,11636.231399090417
17417388,16794912.5725,41,46538,310,0.01998772981866037,10692.285275099333
17417388,16822793.48,42,46538,310,0.019988435256227347,10077.208487148797
17417388,16798673.64,43,46538,310,0.01998707898203595,11259.793561482998
17417388,16800781.4525,44,46538,310,0.019986855557748408,11454.62076703648
17417388,16844449.5475,45,46538,310,0.019989050275731883,9541.003371349612
17417867,16854858.1175,46,47017,310,0.019989286756807775,9335.092708965554
17417867,16823238.39,47,47017,310,0.019988298624501605,10196.615828938902
17417867,16848460.6325,48,47017,310,0.019988612084942677,9923.624269753478
17417867,16863491.0625,49,47017,310,0.01998874101520047,9810.898027248782
17418044,16914132.0675,50,47194,310,0.019989621836401662,9043.95049280398
17418044,16935928.2525,51,47194,310,0.01999016273365003,8571.755034795298
17418044,16942623.9825,52,47194,310,0.01999054555666945,8237.789682139859
17418044,16941121.7675,53,47194,310,0.019989590670127327,9071.595452193165
17418044,16941674.0725,54,47194,310,0.019989664159281623,9007.268790592998
17419978,16936521.935,55,49128,310,0.019989882822731,8816.913049674065
17419978,16954445.355,56,49128,310,0.01998913015590339,9472.770628311499
17419978,16933440.04,57,49128,310,0.0199888660977598,9703.630932453198
17420203,16963882.5275,58,49353,310,0.01998940108590438,9236.656682795336
