MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
11007564,10216861.745,0,20772,292
11083474,10326067.8475,1,21430,294
11083474,10389966.38,2,21430,294
11083474,10434598.895,3,21430,294
11199168,10495345.3575,4,24246,297
11233527,10563685.195,5,20979,298
11233527,10601487.3875,6,20979,298
11233527,10649877.6825,7,20979,298
11233527,10682163.99,8,20979,298
11275211,10684997.44,9,25037,299
11353108,10696339.0725,10,27682,301
11353108,10689065.91,11,27682,301
11353108,10710302.56,12,27682,301
11353108,10734198.6125,13,27682,301
11353108,10728626.955,14,27682,301
11353108,10709797,15,27682,301
11353108,10765198.595,16,27682,301
11353108,10755688.815,17,27682,301
11353108,10766811.015,18,27682,301
11353108,10770822.5675,19,27682,301
11353108,10770191.3725,20,27682,301
11353108,10762135.9875,21,27682,301
11353108,10769136.3575,22,27682,301
11353108,10738280.3025,23,27682,301
11353108,10754407.775,24,27682,301
11353439,10770311.0425,25,28013,301
11429277,10755391.2825,26,28599,303
11429277,10795494.9175,27,28599,303
11429277,10787183.29,28,28599,303
11429277,10778475.1025,29,28599,303
11429277,10793129.2675,30,28599,303
11429277,10800749.735,31,28599,303
11466632,10824642.7525,32,28328,304
11542182,10833645.105,33,28626,306
11542182,10835338.9525,34,28626,306
11542182,10848755.995,35,28626,306
11542182,10823615.9325,36,28626,306
11542182,10834918.035,37,28626,306
11542182,10841621.9875,38,28626,306
11542182,10837707.03,39,28626,306
11542182,10835270.925,40,28626,306
11542182,10857503.6275,41,28626,306
11542552,10884903.935,42,28996,306
11542552,10887536.815,43,28996,306
11542552,10894189.1925,44,28996,306
11542552,10884695.4175,45,28996,306
11542552,10902122.8725,46,28996,306
11542552,10912907.4725,47,28996,306
11579149,10912525.515,48,27967,307
11579149,10928493.39,49,27967,307
