MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
12559500,11682341.0125,0,24524,292
12559500,11776812.6475,1,24524,292
12646823,11863678.8125,2,25991,294
12646823,11880897.875,3,25991,294
12647217,11938876.265,4,26385,294
12647217,11987234.0075,5,26385,294
12863996,12016124.315,6,28524,299
12863996,12047524.975,7,28524,299
12863996,12113484.76,8,28524,299
12863996,12173693.9175,9,28524,299
12863996,12192457.015,10,28524,299
12863996,12216380.11,11,28524,299
12863996,12228306.7225,12,28524,299
12863996,12220457.0225,13,28524,299
12863996,12238873.8275,14,28524,299
12863996,12242542.8525,15,28524,299
12908488,12254547.8275,16,30088,300
12912884,12253758.31,17,34484,300
12912884,12258819.9925,18,34484,300
12912884,12244472.87,19,34484,300
12913139,12246283.5575,20,34739,300
12913139,12240824.0775,21,34739,300
12913139,12249667.98,22,34739,300
12913139,12282637.8575,23,34739,300
12951839,12302710.24,24,30511,301
12951839,12309402.4375,25,30511,301
12951839,12302846.9375,26,30511,301
12951839,12273356.75,27,30511,301
12951839,12281927.15,28,30511,301
12951839,12293030.35,29,30511,301
12951839,12312041.4025,30,30511,301
12951976,12303366.4875,31,30648,301
12955005,12319303.5575,32,33677,301
12955005,12313146.1525,33,33677,301
12955005,12293546.1475,34,33677,301
12955005,12340285.2925,35,33677,301
12955005,12346298.2325,36,33677,301
12996105,12343075.72,37,31849,302
12996105,12341200.52,38,31849,302
13082854,12339667.8425,39,32742,304
13082854,12333330.7075,40,32742,304
13082854,12373498.96,41,32742,304
13082854,12390840.8475,42,32742,304
13082854,12379791.1425,43,32742,304
13082854,12366561.1875,44,32742,304
13082854,12366338.655,45,32742,304
13082854,12343860.99,46,32742,304
13082854,12342180.1225,47,32742,304
13082854,12342080.5875,48,32742,304
13082854,12364787.545,49,32742,304
