Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
2431815,0,6427,6260.14,188
2431815,1,6427,6579.06,188
2456003,2,4813,6366.3,190
2456003,3,4813,6415.08,190
2459878,4,8688,6815.88,190
2486336,5,9344,7445.42,192
2486336,6,9344,8025.36,192
2486336,7,9344,8161.8,192
2486336,8,9344,8199.32,192
2498360,9,8467,8352.46,193
2512620,10,9826,8423.62,194
2525285,11,9590,8654.28,195
2525285,12,9590,8506.86,195
2525285,13,9590,8629.84,195
2537951,14,9355,8830.5,196
2538501,15,9905,8726.64,196
2577697,16,10398,8716.76,199
2577697,17,10398,8749.1,199
2577697,18,10398,8797.72,199
2577697,19,10398,8765.96,199
2577697,20,10398,8834.78,199
2590021,21,9821,8888.58,200
2590021,22,9821,8855.5,200
2590021,23,9821,9133.44,200
2590021,24,9821,9237.96,200
2590021,25,9821,9155.68,200
2602780,26,9679,9153.56,201
2602780,27,9679,9149.32,201
2602780,28,9679,9201.62,201
2602780,29,9679,9075.58,201
2602780,30,9679,9100.98,201
2602780,31,9679,8956.4,201
2602780,32,9679,8830.28,201
2602780,33,9679,8840.34,201
2602780,34,9679,8995.88,201
2602780,35,9679,9174.72,201
2602994,36,9893,9330.42,201
2602994,37,9893,9171.7,201
2603334,38,10233,9023.74,201
2603334,39,10233,9000,201
2603334,40,10233,9159.86,201
2603765,41,10664,9386.52,201
2603765,42,10664,9320.78,201
2603765,43,10664,9299.82,201
2603765,44,10664,9071.82,201
2603765,45,10664,9077.72,201
2603765,46,10664,9223.74,201
2603765,47,10664,9191.76,201
2603765,48,10664,9171.4,201
2603765,49,10664,9311.98,201
2603765,50,10664,9121.42,201
2603765,51,10664,8961.84,201
2603765,52,10664,9070.44,201
2603765,53,10664,9183.4,201
2603765,54,10664,9226.64,201
2603765,55,10664,9341.94,201
2603765,56,10664,9589.18,201
2603765,57,10664,9650.5,201
2603765,58,10664,9413.52,201
2603765,59,10664,9432.68,201
