Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
10,0.11316363314188407,0.8380000000000001,2.272808302808303,3.6,1.702
20,0.04858425020517653,0.952,2.0738095238095235,3.8,3.284
40,0.024412764259235505,0.994,0.4666666666666666,0.8,7.337999999999999
60,0.016548724634004548,0.998,0.2,0.4,13.86
80,0.009601586710596095,1,0,0,22.824
100,0.005618100639733646,1,0,0,34.136
200,0.0016495749051604347,1,0,0,125.83
