Parameter,RelativeError,SatisfiedClauses,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
25,0.0501699703956906,0.13529411764705884,4.73404985818779,10.8,91.43529411764705
50,0.051311780267470374,0.23529411764705882,4.478851471109535,9.8,190.4705882352941
100,0.028557305425846717,0.25882352941176473,3.9858815097945532,8,401.45882352941175
200,0.026425054525258618,0.3058823529411765,3.6679710144927533,8,1068.0647058823529
300,0.023520736980159877,0.3588235294117647,3.3572463768115943,7.4,1581.9294117647055
