Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
Roulette,0.0639837139938865,0.9868819374369324,1.8571428571428572,2,19.813319878910193
Tournament,0.005519422011014592,1,0,0,18.782038345105953
