InstanceSize,Epsilon,MaximumRelativeError,AverageTime
10,0.30000001192092896,0.9230769230769231,9.22972972972973
10,0.5,0.9230769230769231,2.14527027027027
10,0.8999999761581421,0.9230769230769231,1.337837837837838
15,0.30000001192092896,0.8973922902494331,3.1103896103896105
15,0.5,0.8973922902494331,1.8376623376623376
15,0.8999999761581421,0.8973922902494331,0.961038961038961
20,0.30000001192092896,0.8707018485099741,2.103896103896104
20,0.5,0.8707018485099741,1.2597402597402598
20,0.8999999761581421,0.8707018485099741,0.8961038961038961
22,0.30000001192092896,0.9881398332264272,3.189873417721519
22,0.5,0.9881398332264272,2.6202531645569622
22,0.8999999761581421,0.9881398332264272,0.9113924050632911
4,0.30000001192092896,0.9942196531791907,2.8784067085953877
4,0.5,0.9942196531791907,2.5964360587002098
4,0.8999999761581421,0.9942196531791907,1.9171907756813418
