Parameter,BruteForceTime,BaBTime,HeuristicTime,DynamicProgrammingTime
1000,658.438,3266.582,1.116,595.82
2000,443.896,2648.772,0.116,1175.322
3000,439.084,4377.812,2.258,2467.914
4000,474.794,3581.2,0.2,3083.49
5000,471.048,3421.224,0.308,3403.594
6000,438.768,2819.55,0.034,3489.374
7000,449.228,2589.338,0.584,4222.806
8000,437.308,2646.848,0,4722.814
9000,454.838,2523.508,0.258,5539.788
10000,448.91,2643.092,0.158,6035.026
