Parameter,ParameterDouble,BruteForceTime,BaBTime,HeuristicTime,DynamicProgrammingTime
0,0.1,435.856,40.508,1.438,349.004
0,0.2,407.78,87.64,0.046,656.176
0,0.3,411.936,304.424,0.248,973.402
0,0.4,425.802,700.022,0.324,1358.61
0,0.5,409.278,1160.356,0.11,1582.694
0,0.6,407.596,1535.426,0,1892.344
0,0.7,406.798,1824.26,0.166,2253.33
0,0.8,437.15,2162.744,0.158,2540.704
0,0.9,407.678,2443.996,0.228,2842.782
