Parameter,ParameterDouble,BruteForceTime,BaBTime,HeuristicTime,DynamicProgrammingTime
0,0.1,2116.3592,161.8664,2.6404,3150.5912
0,0.2,2038.1912,418.2856,1.8832,7170.6212
0,0.3,2041.8804,1658.7888,1.8696,11172.402
0,0.4,2482.6716,4069.3036,1.6388,14334.5108
0,0.5,2224.2188,6963.9464,1.4436,16351.5088
0,0.6,2043.894,7866.5228,2.3772,21268.4672
0,0.7,2140.4324,11590.8856,2.2268,23501.0124
0,0.8,2088.8464,12550.588,2.0412,31841.0496
0,0.9,2203.8492,13739.6028,1.7896,33658.6932
