Parameter,ParameterDouble,BruteForceTime,BaBTime,HeuristicTime,DynamicProgrammingTime
1,0,484.592,2113.568,1.796,2297.178
2,0,453.788,3382.868,0,1437.902
3,0,527.336,2756.854,0.62,1164.678
4,0,461.772,3187.66,0.094,1358.842
5,0,483.416,3576.46,0.028,789.428
6,0,448.494,3653.77,0.242,899.388
7,0,467.678,2804.952,0.208,659.026
8,0,627.116,2782.69,0.132,590.62
9,0,481.172,2770.428,0.356,628.652
