ParameterDouble,AverageError
0.1,0.01010331809709046
0.2,0.006271171034510459
0.3,0.002859921169760516
0.4,0.0014495407374776406
0.5,0.002594237868951163
0.6,0.0010410689717251977
0.7,0.0008014761181169415
0.8,0.000585493696049537
0.9,0.0011874935609887476
