ParameterInt,ParameterDouble,ParameterString,AverageError
1,0,,0.0017639644976983173
2,0,,0.0007333049049109136
3,0,,0.0015841516676892292
4,0,,0.0009578636110010324
5,0,,0.0008986336217519454
6,0,,0.00017240819507126855
7,0,,0.001876798358013673
8,0,,0.0017447338780716686
9,0,,0.002632767778097332
