ParameterInt,ParameterDouble,AverageError
1000,0,0.0005848712961295821
2000,0,0.0005848712961295821
3000,0,0.0005848712961295821
4000,0,0.0005848712961295821
5000,0,0.0005848712961295821
6000,0,0.0005848712961295821
7000,0,0.0005848712961295821
8000,0,0.0005848712961295821
9000,0,0.0005848712961295821
10000,0,0.0005848712961295821
