ParameterInt,ParameterDouble,ParameterString,AverageError
1,0,,0.002270058883258274
2,0,,0.0013888332647081737
3,0,,0.0014531051119271872
4,0,,0.0009820121333078693
5,0,,4.181116909214663E-05
6,0,,0.00026512540251818453
7,0,,0.000542852214805276
8,0,,0.003143412768298245
9,0,,9.63619391725572E-06
